jvm_short,jvm_descr,jvm_major_version,gc_descr,gc_short,framework,memflag,compl_req,failed_req,req_per_sec,time_per_req_avg,cpus,concurrency,duration
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Quarkus,-Xmx512m -Xms512m,14000,0,1400.00,0.714,1,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Quarkus,-Xmx512m -Xms512m,5944,0,593.93,1.684,4,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Quarkus,-Xmx512m -Xms512m,13717,0,1371.67,0.729,4,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Helidon SE,-Xmx512m -Xms512m,18713,0,1871.29,0.534,1,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Helidon SE,-Xmx512m -Xms512m,22303,0,2230.30,0.448,1,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Helidon SE,-Xmx512m -Xms512m,19585,0,1958.50,0.511,4,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Helidon SE,-Xmx512m -Xms512m,21636,0,2163.60,0.462,4,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Spring Boot,-Xmx512m -Xms512m,9229,0,922.86,1.084,1,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Spring Boot,-Xmx512m -Xms512m,9486,0,948.34,1.054,1,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Spring Boot,-Xmx512m -Xms512m,9260,0,925.63,1.080,4,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Spring Boot,-Xmx512m -Xms512m,9299,0,929.70,1.076,4,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Micronaut,-Xmx512m -Xms512m,7367,0,736.70,1.357,1,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Micronaut,-Xmx512m -Xms512m,6023,0,602.28,1.660,1,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Micronaut,-Xmx512m -Xms512m,7353,0,735.29,1.360,4,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Micronaut,-Xmx512m -Xms512m,6227,0,622.69,1.606,4,4,10
