jvm_short,jvm_descr,jvm_vendor,jvm_major_version,gc_descr,gc_short,framework,memflag,compl_req,failed_req,req_per_sec,time_per_req_avg,cpus,concurrency,duration
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Akka,-Xmx128m -Xms128m,7849,0,392.44,2.548,1,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Akka,-Xmx128m -Xms128m,9526,0,476.29,2.100,1,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Akka,-Xmx128m -Xms128m,9488,0,474.36,2.108,4,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Akka,-Xmx128m -Xms128m,8154,0,407.70,2.453,4,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Akka,-Xmx128m -Xms128m,9298,0,464.88,2.151,4,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Akka,-Xmx128m -Xms128m,9722,0,486.10,2.057,8,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Akka,-Xmx128m -Xms128m,8037,0,401.84,2.489,8,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Akka,-Xmx128m -Xms128m,8799,0,439.93,2.273,8,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx128m -Xms128m,38171,0,1908.55,0.524,1,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx128m -Xms128m,72351,0,3616.89,0.276,1,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx128m -Xms128m,37647,0,1882.32,0.531,1,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx128m -Xms128m,39492,0,1974.58,0.506,4,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx128m -Xms128m,70170,0,3507.77,0.285,4,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx128m -Xms128m,34704,0,1735.19,0.576,4,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx128m -Xms128m,44636,0,2231.80,0.448,8,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx128m -Xms128m,73201,0,3660.05,0.273,8,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx128m -Xms128m,32834,0,1640.82,0.609,8,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx128m -Xms128m,103100,0,5155.00,0.194,1,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx128m -Xms128m,117118,0,5854.22,0.171,1,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx128m -Xms128m,120870,0,6041.31,0.166,1,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx128m -Xms128m,93942,0,4697.08,0.213,4,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx128m -Xms128m,119505,0,5975.25,0.167,4,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx128m -Xms128m,124363,0,6218.15,0.161,4,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx128m -Xms128m,102354,0,5117.69,0.195,8,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx128m -Xms128m,127631,0,6381.53,0.157,8,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx128m -Xms128m,128807,0,6440.10,0.155,8,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx128m -Xms128m,32227,0,1611.34,0.621,1,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx128m -Xms128m,34128,0,1706.39,0.586,1,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx128m -Xms128m,31366,0,1568.27,0.638,1,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx128m -Xms128m,31051,0,1552.54,0.644,4,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx128m -Xms128m,32053,0,1602.63,0.624,4,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx128m -Xms128m,31652,0,1582.59,0.632,4,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx128m -Xms128m,31845,0,1592.24,0.628,8,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx128m -Xms128m,32605,0,1630.23,0.613,8,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx128m -Xms128m,33503,0,1675.15,0.597,8,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx128m -Xms128m,52651,0,2632.52,0.380,1,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx128m -Xms128m,34185,0,1709.24,0.585,1,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx128m -Xms128m,33076,0,1653.63,0.605,1,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx128m -Xms128m,50654,0,2531.83,0.395,4,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx128m -Xms128m,34942,0,1747.05,0.572,4,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx128m -Xms128m,35757,0,1787.85,0.559,4,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx128m -Xms128m,52122,0,2606.10,0.384,8,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx128m -Xms128m,35277,0,1763.84,0.567,8,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx128m -Xms128m,34354,0,1717.70,0.582,8,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx128m -Xms128m,44757,0,2237.83,0.447,1,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx128m -Xms128m,38444,0,1919.82,0.521,1,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx128m -Xms128m,50689,0,2534.44,0.395,1,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx128m -Xms128m,40329,0,2016.44,0.496,4,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx128m -Xms128m,49465,0,2473.24,0.404,4,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx128m -Xms128m,48256,0,2412.80,0.414,4,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx128m -Xms128m,45637,0,2281.85,0.438,8,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx128m -Xms128m,48882,0,2444.10,0.409,8,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx128m -Xms128m,48256,0,2412.79,0.414,8,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx128m -Xms128m,74269,0,3713.44,0.269,1,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx128m -Xms128m,75803,0,3790.14,0.264,1,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx128m -Xms128m,82343,0,4115.32,0.243,1,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx128m -Xms128m,76098,0,3804.88,0.263,4,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx128m -Xms128m,77873,0,3893.64,0.257,4,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx128m -Xms128m,75359,0,3767.94,0.265,4,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx128m -Xms128m,72446,0,3622.30,0.276,8,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx128m -Xms128m,79125,0,3956.24,0.253,8,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx128m -Xms128m,76303,0,3815.15,0.262,8,8,20
